"Commit","HighSeverity","MediumSeverity","LowSeverity"
"4da8cf35bf383144a724eb6b382bd38aa75d1ecd","20","47","2314"
"51eb43b8305b1292f0f0ab48c76e0a0c9f5f5972","20","47","2314"
"52e8b1e1a3f0ff693a7c1bc0ec6cc5c0aab316bf","20","47","2314"
"562bfd5671d0b5db4617e39545532720bc78bc44","20","47","2314"
"579447bb43c1f99d3bf3ef6eaca8e15e8e7e05ce","20","47","2314"
"5cca30d9717dc40f24565dc958942b18b2d70b7b","20","47","2314"
"5e7f9ccb0bb1f0dfc8da6b2be0632710e0d2b4fa","20","47","2314"
"606d1e96912aae895bb71c6339ea9221f2d062fc","20","47","2314"
"62478f900d743574ca5b2a3fc44ea939eff28f17","20","47","2314"
"62bd5f36dc94e52fe44fbb9a3248d3a0baddda0c","20","47","2314"
"63fe461bb4c4106b5d40ab8ef5b6a40ce3713611","20","47","2314"
"6fc9762f5ddc1b7c7005a49749c91a3007f0aca1","20","47","2314"
"71da6f261c43e2ebe3ccaacf5e32acfd3ea78f5e","20","47","2314"
"766467c5e3226bf697ef8adb15024c103604423e","20","47","2314"
"77c4de0cb287be0fcd9bd09e64b8200a6965c71e","20","47","2314"
"7bc3a7a664578ab1685596171cf04e94a18f833f","20","47","2314"
"7d0cef6911e4d456d0ae711592693d69fd057504","20","47","2314"
"7f391b8530d196853f3b14b884ba72cd777592db","20","47","2314"
"803988d206477f403aada7b169f285b93f4babcf","20","47","2314"
"81b68794648ae199378f82723d0b8f7d0e8e4901","20","47","2314"
"8935abec164b1ae864f3f318835a054690a059cf","20","47","2314"
"8b9ba36465f8881c87ced260e2c3482461d06905","20","47","2314"
"8cd87eb05e0fd2d3be267705987f7bde84db8642","20","47","2314"
"9107101fe0d17cb7872475c17cea8eee8d55152a","20","47","2314"
"9649e0d7c06bc6b92cbf649f7d72f684b8aa725a","20","47","2314"
"97bbff54f4afb66f6666b7ea51b27584b101fc28","20","47","2314"
"9a29320d6121c7f46c4b3c3fde610f6e08306680","20","47","2314"
"a309bbe121f34b6e9d54f8f07011e99b0b2318e6","20","47","2314"
"a3a43c2f8b2928aed3004835cc478fcb27cc937a","20","47","2314"
"a403576df3f2c9446dcd45880c864a5d91374e4f","20","47","2314"
"a80b2e478c70175839eb0e3412fef03227321e82","20","47","2314"
"b5dc33be89459fa4b054328bb434101a4fad743a","20","47","2314"
"b61fb243f7a31f7e73191d01d71654d42a384df2","20","47","2314"
"b84124ba2cfa497b4b82248d0bf34d118d8bb022","20","47","2314"
"ba5f7db498eada78df487f6124ac1ea211cba1e0","20","47","2314"
"bafec11c6135c42f82696d52afdf0caa5b75edf2","20","47","2314"
"bd1ccfbf6dff72999d8d0d663e3e3266c6717a47","20","47","2314"
"c05bfba15191b2ceead4e88f2dce8bb3484f4978","20","47","2314"
"c1c321fd341c56ffcc9d1330473f53562256a301","20","47","2314"
"c1e86a9144d6dadab3a969835286c84dcdecdb4d","20","47","2314"
"c2cf7ef5717484037e71cb87e8fc86717fc5bac4","20","47","2314"
"c71aeae34d1e0774807e8aef91d050770c2192d4","20","47","2314"
"c7702ae3ba293f638b804b858d872e11a2ec81d1","20","47","2314"
"cae48d3faac831416847de6fefa5aaeedab73281","20","47","2314"
"d0c5c1cacbb2fda41d599df5a82c3283b266cec2","20","47","2314"
"d18593b5be4e4b85c7b293f2656f700d94a4c195","20","47","2314"
"d29ac45b99d92a3443f5ebcef50ec0b1c06477da","20","47","2314"
"d33d09eaf3d1a0213150096949030231680d9745","20","47","2314"
"d731f0d7a8a3c676ad0cc63330c22d7a6cc0635d","20","47","2314"
"d9589eba2c11b88ec9677d8b24c3c80075387969","20","47","2314"
"dc326dd5ed2b0740c7e24c4ad2a25b2bceac2df8","20","47","2314"
"dfb03251b08eaa11cad800fd96f45425483b1bcc","20","47","2314"
"e1ce78770a1a89b2d3accf46fd57f6c7fbd37d9d","20","47","2314"
"e57c43b705bc9b607f9667ad2fbbadc8de918718","20","47","2314"
"e729020d1333dbd85df7171d1b5a0caa887866f6","20","47","2314"
"e903c018ecb4e7afefe7b06c8ecac3dd84f02425","20","47","2314"
"ea3e89cdd9300e3c4f1226f00b94039de91489fa","20","47","2314"
"f19cf73ef8f7dfed00f221a90aaaab8ff92cd856","20","47","2314"
"f212f783312f50ab81a77fe5023ee10f3b90765a","20","47","2314"
"f27a69be716bc619531b77584f9407201401281d","20","47","2314"
"f5dfc43ce9d011e00e96b19d98db201b4a43c9d9","20","47","2314"
"f7860249a9dca7ecab9a3113a67af1a5b5df475a","20","47","2314"
"f8bbf228ef33833730b9385e4fc499c9ee308f97","20","47","2314"
"f9825142c811cf28c04ad3c148ad2f91893e6579","20","47","2314"
"faa08b6000f43c230b934ef347f4df9025d5881d","20","47","2314"
"ff8ffbc2fa8168e5ddb264c383cb9788c3016455","20","47","2314"
